fromData,toDate,queryType,key,name,optimisedDate,totalConsumption
2018-09-10T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425126,High Wycombe Temple End,2018-09-10,38322.92
2018-10-10T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425110,Hinckley Stoke Rd,2018-10-10,27291.39
2018-10-10T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425116,Horndean Lakesmere Rd,2018-10-10,18338.12
2018-09-11T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425090,Ipswich Sproughton Road,2018-09-11,81864.27
2018-10-01T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425133,Kettering Lower Street,2018-10-01,52229.04
2018-10-09T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425085,Kingsbridge,2018-10-09,5916.87
2018-08-17T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425098,Larkfield Maidstone,2018-08-17,65369.95
2018-09-24T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425152,Leeds Horsforth,2018-09-24,84783.23
2018-09-27T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425114,Leeds Hunslet,2018-09-27,5578.39
2018-09-21T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425100,Leeds Morley,2018-09-21,13397.15
2018-07-11T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425151,Leeds Rothwell Jailhouse Yard,2018-07-11,328963.46
2018-10-10T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425122,Leicester Freemans Pk,2018-10-10,13195.32
2018-09-26T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425416,Livingston Almondvale Road,2018-09-26,0.00
2018-09-01T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425414,London Acton,2018-09-01,0.00
2018-08-31T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425128,London Erith,2018-08-31,83419.50
2018-08-09T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425113,London Holloway,2018-08-09,128677.85
2018-08-23T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425409,London Palmers Green,2018-08-23,39876.67
